league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
AUT-Bundesliga,2023-24,Rapid Wien,Niklas Hedl,AUT,GK,22,2001,32,32,2880,32.0,35,1.09,104,70,68.3,11,12,9,8,25.0,2,2,0,0,0.0
AUT-Bundesliga,2023-24,SC Austria Lustenau,Domenik Schierl,AUT,GK,29,1994,31,31,2790,31.0,56,1.81,158,111,68.4,4,8,19,5,16.1,9,6,3,0,33.3
AUT-Bundesliga,2023-24,SC Austria Lustenau,Simon Täubl,AUT,GK,18,2005,1,1,90,1.0,0,0.0,0,0,,0,1,0,0,0.0,0,0,0,0,
AUT-Bundesliga,2023-24,SCR Altach,Alexander Eckmayr,AUT,GK,24,1999,1,1,90,1.0,2,2.0,3,1,33.3,0,1,0,0,0.0,0,0,0,0,
AUT-Bundesliga,2023-24,SCR Altach,Dejan Stojanović,AUT,GK,30,1993,26,26,2273,25.3,29,1.15,102,73,72.5,5,11,10,8,30.8,1,1,0,0,0.0
AUT-Bundesliga,2023-24,SCR Altach,Tobias Schützenauer,AUT,GK,26,1997,6,5,517,5.7,9,1.57,14,7,50.0,1,1,3,1,20.0,2,2,0,0,0.0
AUT-Bundesliga,2023-24,SK Austria Klagenfurt,Marco Knaller,AUT,GK,36,1987,1,1,90,1.0,2,2.0,6,4,66.7,0,1,0,0,0.0,0,0,0,0,
AUT-Bundesliga,2023-24,SK Austria Klagenfurt,Phillip Menzel,GER,GK,24,1998,31,31,2790,31.0,47,1.52,138,92,66.7,9,11,11,8,25.8,1,1,0,0,0.0
AUT-Bundesliga,2023-24,Sturm Graz,Kjell Scherpen,NED,GK,23,2000,16,16,1440,16.0,12,0.75,51,41,78.4,10,4,2,7,43.8,2,1,1,0,50.0
AUT-Bundesliga,2023-24,Sturm Graz,Luka Marić,AUT,GK,21,2002,2,2,180,2.0,0,0.0,5,5,100.0,2,0,0,1,50.0,0,0,0,0,
AUT-Bundesliga,2023-24,Sturm Graz,Vitezslav Jaros,CZE,GK,22,2001,14,14,1260,14.0,11,0.79,41,31,75.6,7,6,1,3,21.4,1,1,0,0,0.0
AUT-Bundesliga,2023-24,WSG Tirol,Adam Stejskal,CZE,GK,20,2002,32,32,2829,31.4,53,1.69,140,91,64.3,7,5,20,2,6.3,4,3,1,0,25.0
AUT-Bundesliga,2023-24,WSG Tirol,Benjamin Ozegovic,AUT,GK,23,1999,1,0,39,0.4,1,2.31,1,0,0.0,0,0,0,0,,0,0,0,0,
AUT-Bundesliga,2023-24,WSG Tirol,Paul Schermer,AUT,GK,19,2004,1,0,10,0.1,1,9.0,1,0,0.0,0,0,0,0,,0,0,0,0,
AUT-Bundesliga,2023-24,Wolfsberger AC,Hendrik Bonmann,GER,GK,29,1994,24,24,2160,24.0,32,1.33,98,69,69.4,8,7,9,4,16.7,3,2,1,0,33.3
AUT-Bundesliga,2023-24,Wolfsberger AC,Lukas Gütlbauer,AUT,GK,22,2000,8,8,720,8.0,6,0.75,37,31,83.8,4,3,1,2,25.0,0,0,0,0,
BEL-Belgian Pro League,2023-24,Anderlecht,Kasper Schmeichel,DEN,GK,36,1986,23,23,2070,23.0,23,1.0,110,86,80.0,14,7,2,5,21.7,2,1,1,0,50.0
BEL-Belgian Pro League,2023-24,Anderlecht,Maxime Dupé,FRA,GK,30,1993,7,7,630,7.0,7,1.0,24,17,79.2,4,2,1,2,28.6,2,2,0,0,0.0
BEL-Belgian Pro League,2023-24,Antwerp,Jean Butez,FRA,GK,28,1995,30,30,2700,30.0,27,0.9,97,71,77.3,14,10,6,12,40.0,5,5,0,0,0.0
BEL-Belgian Pro League,2023-24,Cercle Brugge,Warleson,BRA,GK,26,1996,30,30,2700,30.0,34,1.13,123,90,72.4,14,5,11,11,36.7,1,0,1,0,100.0
BEL-Belgian Pro League,2023-24,Charleroi,Hervé Koffi,BFA,GK,26,1996,26,26,2339,26.0,39,1.5,129,91,73.6,6,8,12,7,26.9,5,5,0,0,0.0
BEL-Belgian Pro League,2023-24,Charleroi,Martin Delavallée,BEL,GK,19,2004,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
BEL-Belgian Pro League,2023-24,Charleroi,Pierre Patron,FRA,GK,25,1997,4,4,360,4.0,9,2.25,21,12,57.1,1,0,3,1,25.0,0,0,0,0,
BEL-Belgian Pro League,2023-24,Club Brugge,Nordin Jackers,BEL,GK,25,1997,3,2,261,2.9,3,1.03,12,9,75.0,2,0,0,1,50.0,2,0,0,2,
BEL-Belgian Pro League,2023-24,Club Brugge,Simon Mignolet,BEL,GK,35,1988,28,28,2439,27.1,26,0.96,86,60,69.8,12,9,7,9,32.1,1,0,0,1,
