league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
AUT-Bundesliga,2024-25,LASK,Filip Stojković,MNE,DF,31,1993,11.9,,,,,,,19,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Florian Flecker,AUT,MF,28,1995,11.6,,,,,,,32,,,,,,,,
AUT-Bundesliga,2024-25,LASK,George Bello,USA,"DF,MF",22,2002,27.1,,,,,,,99,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Hrvoje Smolčić,CRO,DF,23,2000,17.4,,,,,,,7,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Ibrahim Mustapha,GHA,MF,24,2000,1.4,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Ismaila Cheick Coulibaly,MLI,MF,23,2000,7.4,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Ivan Ljubic,AUT,MF,28,1996,10.9,,,,,,,12,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Jérôme Boateng,GER,DF,35,1988,4.5,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Jörg Siebenhandl,AUT,GK,34,1990,9.9,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Kevin Lebersorger,AUT,FW,19,2005,0.0,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Kryštof Daněk,CZE,"MF,FW",21,2003,9.1,,,,,,,12,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Lenny Pintor,FRA,MF,23,2000,2.9,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Lukas Jungwirth,AUT,GK,20,2004,2.5,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Maksym Talovierov,UKR,DF,24,2000,7.0,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Marco Sulzner,AUT,"DF,MF",21,2003,2.7,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Marin Ljubicic,CRO,FW,22,2002,11.5,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Maximilian Entrup,AUT,FW,27,1997,19.8,,,,,,,10,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Melayro Bogarde,NED,"DF,MF",22,2002,17.6,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Modou Cissé,SEN,DF,18,2005,7.3,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Mohamed Sanogo,MLI,MF,20,2003,0.7,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Moses Usor,NGA,MF,22,2002,7.3,,,,,,,31,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Nael Kane,CAN,FW,18,2006,0.5,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Oumar Diallo,CAN,FW,19,2005,0.1,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Philipp Ziereis,GER,DF,31,1993,24.2,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Queyrell Tchicamboud,FRA,MF,18,2005,0.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,René Renner,AUT,DF,30,1993,0.7,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Robert Žulj,AUT,"MF,FW",32,1992,22.2,,,,,,,114,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Samuel Adeniran,USA,FW,25,1998,6.3,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Sascha Horvath,AUT,MF,27,1996,24.3,,,,,,,79,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Lawal,AUT,GK,24,2000,17.6,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Schützenauer,AUT,GK,27,1997,2.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tomas Galvez,FIN,MF,19,2005,1.0,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tomás Tavares,POR,MF,23,2001,0.7,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Valon Berisha,KVX,MF,31,1993,15.7,,,,,,,40,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Adam Daghim,DEN,FW,18,2005,19.4,,,,,,,37,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Aleksa Terzić,SRB,DF,24,1999,18.1,,,,,,,178,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Alexander Schlager,AUT,GK,28,1996,21.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Amar Dedić,BIH,DF,21,2002,8.7,,,,,,,11,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Bobby Clark,ENG,"MF,FW",19,2005,7.1,,,,,,,25,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Daouda Guindo,MLI,DF,21,2002,5.3,,,,,,,19,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Edmund Baidoo,GHA,"MF,FW",18,2006,5.3,,,,,,,40,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Hendry Blank,GER,DF,19,2004,5.4,,,,,,,8,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Ignace Van Der Brempt,BEL,DF,22,2002,0.7,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Janis Blaswich,GER,GK,33,1991,11.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Jannik Schuster,AUT,DF,18,2006,0.2,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,John Mellberg,SWE,DF,18,2006,3.2,,,,,,,3,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kamil Piątkowski,POL,DF,24,2000,11.8,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Konaté,CIV,FW,20,2004,8.4,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Onisiwo,AUT,FW,32,1992,6.4,,,,,,,8,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kouakou Gadou,FRA,DF,17,2007,17.5,,,,,,,2,,,,,,,,
