league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
ENG-Premier League,2024-25,Tottenham,Will Lankshear,ENG,"FW,MF",19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Tottenham,Wilson Odobert,FRA,"FW,MF",19,2004,9.4,14,5,5,4,5,8,14,57.1,6,6,0,6,4,18,5,1
ENG-Premier League,2024-25,Tottenham,Yves Bissouma,MLI,MF,27,1996,15.6,49,31,20,25,4,19,34,55.9,15,11,6,5,18,67,40,4
ENG-Premier League,2024-25,West Ham,Aaron Cresswell,ENG,DF,34,1989,9.2,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,37,0
ENG-Premier League,2024-25,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,35.0,70,49,33,32,5,23,32,71.9,9,37,11,26,66,136,125,0
ENG-Premier League,2024-25,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,3
ENG-Premier League,2024-25,West Ham,Andy Irving,SCO,MF,24,2000,1.8,7,4,3,3,1,1,5,20.0,4,5,1,4,1,8,5,0
ENG-Premier League,2024-25,West Ham,Carlos Soler,ESP,"MF,FW",27,1997,15.7,16,11,9,6,1,7,23,30.4,16,19,6,13,8,24,21,2
ENG-Premier League,2024-25,West Ham,Crysencio Summerville,NED,"FW,MF",22,2001,8.7,13,7,2,8,3,3,9,33.3,6,13,4,9,0,13,7,0
ENG-Premier League,2024-25,West Ham,Danny Ings,ENG,"FW,MF",32,1992,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0
ENG-Premier League,2024-25,West Ham,Edson Álvarez,MEX,MF,26,1997,19.7,50,27,27,15,8,17,35,48.6,18,23,8,15,18,68,46,1
ENG-Premier League,2024-25,West Ham,Emerson Palmieri,ITA,DF,29,1994,23.5,60,31,37,18,5,27,48,56.3,21,32,8,24,21,81,59,0
ENG-Premier League,2024-25,West Ham,Evan Ferguson,IRL,FW,19,2004,1.7,3,1,0,1,2,0,0,,0,2,1,1,1,4,1,0
ENG-Premier League,2024-25,West Ham,Guido Rodríguez,ARG,MF,30,1994,12.8,36,19,21,15,0,17,33,51.5,16,23,9,14,13,49,35,1
ENG-Premier League,2024-25,West Ham,James Ward-Prowse,ENG,MF,29,1994,11.5,20,14,8,8,4,7,19,36.8,12,6,3,3,8,28,15,0
ENG-Premier League,2024-25,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,33.0,41,26,13,12,16,19,40,47.5,21,22,4,18,16,57,25,0
ENG-Premier League,2024-25,West Ham,Jean-Clair Todibo,FRA,DF,24,1999,20.3,47,28,30,15,2,26,36,72.2,10,25,13,12,26,73,83,3
ENG-Premier League,2024-25,West Ham,Kaelan Casey,ENG,DF,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2024-25,West Ham,Konstantinos Mavropanos,GRE,DF,26,1997,22.7,35,24,24,10,1,16,27,59.3,11,25,18,7,40,75,126,1
ENG-Premier League,2024-25,West Ham,Lewis Orford,ENG,MF,18,2006,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ENG-Premier League,2024-25,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,26.4,66,37,25,30,11,27,55,49.1,28,29,4,25,18,84,37,6
ENG-Premier League,2024-25,West Ham,Luis Guilherme,BRA,"MF,FW",18,2006,1.7,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,2,0
ENG-Premier League,2024-25,West Ham,Max Kilman,ENG,DF,27,1997,37.2,39,24,16,20,3,23,27,85.2,4,58,40,18,38,77,212,6
ENG-Premier League,2024-25,West Ham,Michail Antonio,JAM,FW,34,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0
ENG-Premier League,2024-25,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,28.8,38,23,9,18,11,10,27,37.0,17,24,1,23,4,42,8,2
ENG-Premier League,2024-25,West Ham,Niclas Füllkrug,GER,FW,31,1993,8.8,4,3,0,1,3,3,4,75.0,1,1,0,1,1,5,16,0
ENG-Premier League,2024-25,West Ham,Oliver Scarles,ENG,"DF,FW",18,2005,7.4,21,11,17,3,1,14,22,63.6,8,14,2,12,11,32,26,0
ENG-Premier League,2024-25,West Ham,Tomáš Souček,CZE,MF,29,1995,28.5,46,21,20,23,3,26,44,59.1,18,41,21,20,20,66,85,1
ENG-Premier League,2024-25,West Ham,Vladimír Coufal,CZE,DF,31,1992,11.9,22,15,13,7,2,10,22,45.5,12,13,11,2,8,30,39,1
ENG-Premier League,2024-25,West Ham,Łukasz Fabiański,POL,GK,39,1985,12.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
ENG-Premier League,2024-25,Wolves,Alfie Pond,ENG,DF,20,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Wolves,André,BRA,MF,23,2001,27.5,91,55,41,41,9,37,63,58.7,26,42,8,34,37,128,30,1
ENG-Premier League,2024-25,Wolves,Boubacar Traoré,MLI,MF,22,2001,0.0,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
ENG-Premier League,2024-25,Wolves,Carlos Forbs,POR,"MF,FW",20,2004,2.7,8,5,5,2,1,4,6,66.7,2,3,0,3,1,9,2,1
ENG-Premier League,2024-25,Wolves,Chiquinho,POR,MF,24,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Wolves,Craig Dawson,ENG,DF,34,1990,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1
ENG-Premier League,2024-25,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2024-25,Wolves,Daniel Podence,POR,"MF,FW",28,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,15.7,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0
ENG-Premier League,2024-25,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,11.1,16,5,2,6,8,4,16,25.0,12,11,0,11,5,21,4,0
ENG-Premier League,2024-25,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,7.3,6,4,2,1,3,2,6,33.3,4,9,0,9,2,8,11,0
ENG-Premier League,2024-25,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26,1998,18.6,39,24,17,19,3,14,20,70.0,6,19,3,16,10,49,18,1
ENG-Premier League,2024-25,Wolves,José Sá,POR,GK,31,1993,29.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,15,1
ENG-Premier League,2024-25,Wolves,João Gomes,BRA,MF,23,2001,33.0,116,71,55,53,8,48,110,43.6,62,42,4,38,25,141,33,0
ENG-Premier League,2024-25,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,28.7,10,6,2,3,5,4,27,14.8,23,19,4,15,6,16,29,0
ENG-Premier League,2024-25,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,15.2,51,31,27,19,5,20,29,69.0,9,12,7,5,27,78,50,3
ENG-Premier League,2024-25,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,12.0,24,10,7,11,6,13,23,56.5,10,14,1,13,6,30,18,0
ENG-Premier League,2024-25,Wolves,Mateus Mane,,MF,,,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2024-25,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,28.9,38,22,17,16,5,13,39,33.3,26,21,1,20,17,55,23,0
ENG-Premier League,2024-25,Wolves,Matt Doherty,IRL,DF,32,1992,23.4,38,21,25,13,0,17,25,68.0,8,28,15,13,22,60,102,3
ENG-Premier League,2024-25,Wolves,Nasser Djiga,BFA,DF,21,2002,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,1
ENG-Premier League,2024-25,Wolves,Nélson Semedo,POR,DF,30,1993,32.1,62,36,32,21,9,34,57,59.6,23,32,10,22,23,85,104,3
ENG-Premier League,2024-25,Wolves,Pablo Sarabia,ESP,"MF,FW",32,1992,9.0,16,8,4,8,4,10,16,62.5,6,10,0,10,4,20,7,1
ENG-Premier League,2024-25,Wolves,Pedro Lima,BRA,DF,18,2006,0.8,1,0,0,0,1,1,3,33.3,2,0,0,0,2,3,5,0
ENG-Premier League,2024-25,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,34.5,89,57,52,28,9,43,70,61.4,27,42,6,36,26,115,75,2
ENG-Premier League,2024-25,Wolves,Rodrigo Gomes,POR,"DF,FW",21,2003,9.0,23,15,14,9,0,12,21,57.1,9,8,1,7,7,30,20,1
ENG-Premier League,2024-25,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
ENG-Premier League,2024-25,Wolves,Santiago Bueno,URU,DF,25,1998,18.7,41,21,22,18,1,17,22,77.3,5,36,21,15,15,56,70,0
ENG-Premier League,2024-25,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2024-25,Wolves,Tommy Doyle,ENG,MF,22,2001,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1
ENG-Premier League,2024-25,Wolves,Toti Gomes,POR,DF,25,1999,29.0,61,43,42,15,4,37,46,80.4,9,29,17,12,25,86,152,5
ENG-Premier League,2024-25,Wolves,Yerson Mosquera,COL,DF,23,2001,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0
ESP-La Liga,2024-25,Alavés,Abdel Abqar,MAR,DF,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1
ESP-La Liga,2024-25,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25,1998,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0
ESP-La Liga,2024-25,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1
ESP-La Liga,2024-25,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,6.6,18,10,7,11,0,8,10,80.0,2,2,1,1,10,28,24,1
ESP-La Liga,2024-25,Alavés,Ander Guevara,ESP,MF,27,1997,21.6,49,30,19,29,1,20,48,41.7,28,21,5,16,14,63,43,1
ESP-La Liga,2024-25,Alavés,Antonio Blanco,ESP,MF,24,2000,30.3,67,40,23,37,7,32,83,38.6,51,30,7,23,42,109,48,1
ESP-La Liga,2024-25,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,20,0
ESP-La Liga,2024-25,Alavés,Asier Villalibre,ESP,FW,26,1997,3.7,2,2,0,1,1,1,2,50.0,1,1,0,1,1,3,7,0
ESP-La Liga,2024-25,Alavés,Carles Aleñá,ESP,"MF,FW",26,1998,12.1,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0
ESP-La Liga,2024-25,Alavés,Carlos Benavídez,URU,MF,26,1998,5.4,19,14,10,6,3,6,11,54.5,5,5,2,3,8,27,14,1
ESP-La Liga,2024-25,Alavés,Carlos Martín,ESP,"FW,MF",22,2002,14.8,43,21,18,16,9,13,49,26.5,36,30,1,29,5,48,20,0
ESP-La Liga,2024-25,Alavés,Carlos Vicente,ESP,"FW,MF",25,1999,34.4,47,31,26,11,10,25,64,39.1,39,34,2,32,14,61,40,0
ESP-La Liga,2024-25,Alavés,Facundo Garcés,MAS,DF,24,1999,7.5,6,2,4,2,0,3,5,60.0,2,8,6,2,5,11,51,0
ESP-La Liga,2024-25,Alavés,Hugo Novoa,ESP,"DF,MF",21,2003,2.6,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0
ESP-La Liga,2024-25,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
ESP-La Liga,2024-25,Alavés,Joan Jordán,ESP,MF,30,1994,15.7,32,18,11,17,4,17,30,56.7,13,12,0,12,9,41,21,0
ESP-La Liga,2024-25,Alavés,Jon Guridi,ESP,"MF,FW",29,1995,23.1,40,22,7,26,7,18,44,40.9,26,19,1,18,14,54,16,0
ESP-La Liga,2024-25,Alavés,Kiké,ESP,FW,34,1989,28.2,19,14,1,12,6,6,17,35.3,11,11,4,7,1,20,23,0
ESP-La Liga,2024-25,Alavés,Luis Rioja,ESP,FW,30,1993,0.3,2,1,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0
ESP-La Liga,2024-25,Alavés,Luka Romero,ARG,"FW,MF",19,2004,2.2,4,4,1,1,2,2,3,66.7,1,2,0,2,1,5,0,0
ESP-La Liga,2024-25,Alavés,Manu Sánchez,ESP,DF,23,2000,29.3,83,56,40,33,10,41,69,59.4,28,51,12,39,30,113,76,1
ESP-La Liga,2024-25,Alavés,Moussa Diarra,MLI,DF,23,2000,20.7,40,24,19,18,3,17,29,58.6,12,15,5,10,21,61,46,1
ESP-La Liga,2024-25,Alavés,Nahuel Tenaglia,ARG,DF,28,1996,32.5,96,61,61,30,5,53,88,60.2,35,33,9,24,47,143,123,2
ESP-La Liga,2024-25,Alavés,Pau Cabanes,ESP,"MF,FW",19,2005,2.1,8,2,4,3,1,6,13,46.2,7,2,0,2,0,8,1,0
ESP-La Liga,2024-25,Alavés,Pica,ESP,DF,22,2002,5.5,9,7,7,2,0,4,9,44.4,5,7,6,1,9,18,26,0
ESP-La Liga,2024-25,Alavés,Santiago Mouriño,URU,DF,22,2002,20.5,43,28,31,12,0,21,38,55.3,17,27,12,15,29,72,120,0
ESP-La Liga,2024-25,Alavés,Stoichkov,ESP,"MF,FW",30,1993,7.8,14,9,6,7,1,6,11,54.5,5,2,0,2,1,15,7,0
ESP-La Liga,2024-25,Alavés,Tomás Conechny,ARG,"FW,MF",26,1998,9.4,15,12,6,7,2,9,27,33.3,18,14,2,12,6,21,10,0
ESP-La Liga,2024-25,Alavés,Toni Martínez,ESP,FW,27,1997,11.2,12,7,5,4,3,4,8,50.0,4,8,2,6,1,13,15,0
ESP-La Liga,2024-25,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002,12.2,20,11,11,7,2,10,15,66.7,5,10,3,7,12,32,27,1
ESP-La Liga,2024-25,Athletic Club,Adu Ares,ESP,FW,22,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ESP-La Liga,2024-25,Athletic Club,Aingeru Olabarrieta,ESP,FW,18,2005,0.6,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0
ESP-La Liga,2024-25,Athletic Club,Aitor Paredes,ESP,DF,24,2000,20.1,15,13,10,5,0,8,15,53.3,7,26,15,11,22,37,114,4
ESP-La Liga,2024-25,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
ESP-La Liga,2024-25,Athletic Club,Ander Herrera,ESP,MF,34,1989,3.0,8,4,1,7,0,3,6,50.0,3,1,0,1,2,10,10,0
ESP-La Liga,2024-25,Athletic Club,Andoni Gorosabel,ESP,DF,27,1996,16.5,47,28,31,9,7,30,45,66.7,15,18,2,16,18,65,62,0
ESP-La Liga,2024-25,Athletic Club,Beñat Prados,ESP,MF,23,2001,19.1,55,36,20,27,8,25,53,47.2,28,21,2,19,28,83,26,0
ESP-La Liga,2024-25,Athletic Club,Daniel Vivian,ESP,DF,25,1999,29.0,40,26,23,14,3,21,32,65.6,11,26,10,16,47,87,152,2
ESP-La Liga,2024-25,Athletic Club,Endika Buján,ESP,FW,21,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ESP-La Liga,2024-25,Athletic Club,Gorka Guruzeta,ESP,FW,27,1996,20.4,16,8,1,13,2,7,31,22.6,24,28,4,24,9,25,23,0
ESP-La Liga,2024-25,Athletic Club,Iñaki Williams,GHA,FW,30,1994,29.5,17,10,4,8,5,12,23,52.2,11,34,5,29,12,29,32,0
ESP-La Liga,2024-25,Athletic Club,Iñigo Lekue,ESP,DF,31,1993,8.6,15,12,12,3,0,9,17,52.9,8,7,2,5,9,24,29,2
ESP-La Liga,2024-25,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30,1993,16.4,36,22,11,17,8,20,31,64.5,11,11,4,7,16,52,14,2
ESP-La Liga,2024-25,Athletic Club,Javi Martón,ESP,"FW,MF",25,1999,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2024-25,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
ESP-La Liga,2024-25,Athletic Club,Maroan Sannadi,MAR,FW,23,2001,8.4,5,0,1,4,0,2,7,28.6,5,1,0,1,1,6,2,1
ESP-La Liga,2024-25,Athletic Club,Mikel Jauregizar,ESP,MF,20,2003,24.9,84,48,25,45,14,41,83,49.4,42,24,4,20,29,113,36,2
ESP-La Liga,2024-25,Athletic Club,Mikel Vesga,ESP,MF,31,1993,11.0,22,15,7,13,2,12,28,42.9,16,10,1,9,15,37,26,0
ESP-La Liga,2024-25,Athletic Club,Nico Williams,ESP,FW,22,2002,22.2,28,18,10,11,7,11,32,34.4,21,20,1,19,7,35,9,0
ESP-La Liga,2024-25,Athletic Club,Nicolás Serrano,ESP,FW,21,2003,1.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
ESP-La Liga,2024-25,Athletic Club,Oihan Sancet,ESP,MF,24,2000,18.0,13,8,6,6,1,5,14,35.7,9,10,0,10,5,18,6,0
ESP-La Liga,2024-25,Athletic Club,Peio Canales,ESP,"MF,FW",19,2005,2.9,3,2,0,1,2,1,1,100.0,0,3,0,3,2,5,2,0
ESP-La Liga,2024-25,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003,14.3,12,8,3,7,2,4,7,57.1,3,13,1,12,2,14,15,1
ESP-La Liga,2024-25,Athletic Club,Unai Núñez,ESP,DF,27,1997,7.2,10,5,7,3,0,4,7,57.1,3,4,4,0,17,27,46,1
ESP-La Liga,2024-25,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,14,4
ESP-La Liga,2024-25,Athletic Club,Yeray Álvarez,ESP,DF,29,1995,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1
ESP-La Liga,2024-25,Athletic Club,Yuri Berchiche,ESP,DF,34,1990,22.7,33,21,19,11,3,19,33,57.6,14,25,5,20,27,60,72,3
ESP-La Liga,2024-25,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995,26.0,32,16,6,16,10,14,31,45.2,17,23,2,21,10,42,18,0
ESP-La Liga,2024-25,Athletic Club,Álvaro djaló,ESP,FW,24,1999,7.3,8,5,3,2,3,1,3,33.3,2,4,0,4,1,9,4,0
ESP-La Liga,2024-25,Athletic Club,Óscar de Marcos,ESP,DF,35,1989,17.4,32,15,15,13,4,21,37,56.8,16,17,1,16,16,48,35,0
ESP-La Liga,2024-25,Atlético Madrid,Adrian Niño,ESP,FW,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2024-25,Atlético Madrid,Alexander Sørloth,NOR,FW,28,1995,17.4,9,5,2,5,2,3,6,50.0,3,6,1,5,1,10,28,0
ESP-La Liga,2024-25,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",33,1991,27.4,30,17,13,13,4,7,29,24.1,22,20,1,19,6,36,23,1
ESP-La Liga,2024-25,Atlético Madrid,Axel Witsel,BEL,DF,35,1989,9.5,16,12,4,10,2,12,14,85.7,2,15,8,7,11,27,34,1
ESP-La Liga,2024-25,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995,21.9,27,17,19,8,0,11,15,73.3,4,24,18,6,22,49,104,1
ESP-La Liga,2024-25,Atlético Madrid,Conor Gallagher,ENG,MF,24,2000,18.1,45,32,16,19,10,22,49,44.9,27,23,5,18,20,65,23,0
ESP-La Liga,2024-25,Atlético Madrid,César Azpilicueta,ESP,DF,34,1989,9.7,25,14,12,9,4,17,23,73.9,6,10,2,8,5,30,32,0
ESP-La Liga,2024-25,Atlético Madrid,Giuliano Simeone,ARG,MF,21,2002,21.4,27,13,6,11,10,15,30,50.0,15,22,3,19,14,41,22,1
ESP-La Liga,2024-25,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,2
ESP-La Liga,2024-25,Atlético Madrid,Javi Galán,ESP,DF,29,1994,19.8,51,31,31,15,5,25,49,51.0,24,13,3,10,12,63,47,0
ESP-La Liga,2024-25,Atlético Madrid,José María Giménez,URU,DF,29,1995,22.2,26,16,18,8,0,17,28,60.7,11,29,19,10,27,53,115,2
ESP-La Liga,2024-25,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2024-25,Atlético Madrid,Julián Álvarez,ARG,FW,24,2000,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1
ESP-La Liga,2024-25,Atlético Madrid,Koke,ESP,MF,32,1992,21.4,46,23,18,22,6,21,43,48.8,22,24,2,22,20,66,29,2
ESP-La Liga,2024-25,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",29,1995,27.9,69,52,38,27,4,36,55,65.5,19,32,7,25,27,96,51,1
ESP-La Liga,2024-25,Atlético Madrid,Nahuel Molina,ARG,DF,26,1998,17.7,44,19,21,21,2,31,56,55.4,25,16,3,13,13,57,53,0
ESP-La Liga,2024-25,Atlético Madrid,Pablo Barrios,ESP,MF,21,2003,25.9,46,26,23,20,3,23,47,48.9,24,18,5,13,34,80,33,9
ESP-La Liga,2024-25,Atlético Madrid,Reinildo Mandava,MOZ,DF,30,1994,10.5,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0
ESP-La Liga,2024-25,Atlético Madrid,Robin Le Normand,ESP,DF,27,1996,23.9,27,18,23,4,0,12,20,60.0,8,20,9,11,10,37,120,1
ESP-La Liga,2024-25,Atlético Madrid,Rodrigo De Paul,ARG,MF,30,1994,23.4,33,26,12,16,5,14,33,42.4,19,25,2,23,6,39,15,3
ESP-La Liga,2024-25,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",24,2000,5.7,11,5,4,6,1,6,11,54.5,5,3,0,3,2,13,3,0
ESP-La Liga,2024-25,Atlético Madrid,Samuel Lino,BRA,"MF,DF",24,1999,17.2,33,17,25,4,4,22,52,42.3,30,23,4,19,8,41,13,0
ESP-La Liga,2024-25,Atlético Madrid,Thomas Lemar,FRA,MF,28,1995,0.9,2,1,1,1,0,2,4,50.0,2,0,0,0,0,2,1,0
ESP-La Liga,2024-25,Atlético Madrid,Ángel Correa,ARG,"FW,MF",29,1995,8.9,9,3,4,1,4,5,15,33.3,10,10,0,10,4,13,8,0
ESP-La Liga,2024-25,Barcelona,Alejandro Balde,ESP,DF,20,2003,25.4,18,10,10,5,3,11,17,64.7,6,24,5,19,5,23,27,0
ESP-La Liga,2024-25,Barcelona,Andreas Christensen,DEN,DF,28,1996,2.8,6,4,4,1,1,4,4,100.0,0,2,0,2,4,10,9,0
ESP-La Liga,2024-25,Barcelona,Ansu Fati,ESP,FW,21,2002,2.6,4,1,0,2,2,1,2,50.0,1,1,0,1,1,5,0,1
ESP-La Liga,2024-25,Barcelona,Dani Olmo,ESP,"MF,FW",26,1998,13.5,16,11,8,5,3,4,14,28.6,10,6,3,3,3,19,11,1
ESP-La Liga,2024-25,Barcelona,Daniel Rodriguez,ESP,FW,18,2005,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ESP-La Liga,2024-25,Barcelona,Eric García,ESP,"DF,MF",23,2001,17.4,38,21,11,24,3,20,29,69.0,9,24,8,16,14,52,41,0
ESP-La Liga,2024-25,Barcelona,Fermin López,ESP,"MF,FW",21,2003,13.9,19,15,3,9,7,8,32,25.0,24,11,0,11,5,24,3,0
ESP-La Liga,2024-25,Barcelona,Ferrán Torres,ESP,"FW,MF",24,2000,12.3,8,4,2,3,3,3,8,37.5,5,7,1,6,4,12,5,0
ESP-La Liga,2024-25,Barcelona,Frenkie de Jong,NED,MF,27,1997,12.7,19,11,5,8,6,8,16,50.0,8,9,1,8,12,31,7,1
ESP-La Liga,2024-25,Barcelona,Gavi,ESP,"MF,FW",19,2004,12.1,30,21,10,15,5,15,26,57.7,11,14,1,13,10,40,7,0
ESP-La Liga,2024-25,Barcelona,Gerard Martín,ESP,DF,22,2002,11.5,22,10,10,7,5,11,16,68.8,5,16,2,14,13,35,27,0
ESP-La Liga,2024-25,Barcelona,Héctor Fort,ESP,DF,17,2006,6.5,13,8,6,4,3,10,16,62.5,6,12,0,12,6,19,16,0
ESP-La Liga,2024-25,Barcelona,Iñaki Peña,ESP,GK,25,1999,15.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,20,1
ESP-La Liga,2024-25,Barcelona,Iñigo Martínez,ESP,DF,33,1991,27.7,25,14,20,5,0,16,22,72.7,6,18,7,11,18,43,108,1
ESP-La Liga,2024-25,Barcelona,Jules Koundé,FRA,DF,25,1998,28.9,63,43,29,23,11,44,66,66.7,22,35,5,30,20,83,68,2
ESP-La Liga,2024-25,Barcelona,Lamine Yamal,ESP,FW,17,2007,31.7,42,28,8,17,17,16,38,42.1,22,12,0,12,16,58,3,0
ESP-La Liga,2024-25,Barcelona,Marc Bernal,ESP,MF,17,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0
ESP-La Liga,2024-25,Barcelona,Marc Casado,ESP,MF,20,2003,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1
ESP-La Liga,2024-25,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,7.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,2
ESP-La Liga,2024-25,Barcelona,Pablo Torre,ESP,"MF,FW",21,2003,3.4,5,4,1,3,1,2,4,50.0,2,0,0,0,3,8,5,1
ESP-La Liga,2024-25,Barcelona,Pau Cubarsí,ESP,DF,17,2007,29.1,34,23,21,10,3,19,30,63.3,11,12,9,3,16,50,86,1
ESP-La Liga,2024-25,Barcelona,Pau Victor,ESP,FW,22,2001,3.5,3,1,0,2,1,0,3,0.0,3,6,1,5,2,5,5,0
ESP-La Liga,2024-25,Barcelona,Pedri,ESP,MF,21,2002,32.0,61,34,14,38,9,24,70,34.3,46,45,3,42,26,87,21,1
ESP-La Liga,2024-25,Barcelona,Raphinha,BRA,"FW,MF",27,1996,31.5,36,22,6,19,11,19,39,48.7,20,29,2,27,11,47,26,0
ESP-La Liga,2024-25,Barcelona,Robert Lewandowski,POL,FW,35,1988,29.6,10,5,1,5,4,5,11,45.5,6,14,2,12,3,13,26,0
ESP-La Liga,2024-25,Barcelona,Ronald Araújo,URU,DF,25,1999,8.4,12,9,6,5,1,4,5,80.0,1,6,4,2,9,21,25,0
ESP-La Liga,2024-25,Barcelona,Sergi Dominguez,ESP,DF,19,2005,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0
