league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
AUT-Bundesliga,2023-24,Rapid Wien,Isak Jansson,SWE,MF,21,2002,5.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Ismaïl Seydi,FRA,MF,22,2001,2.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Jonas Auer,AUT,DF,22,2000,23.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Jovan Živković,AUT,FW,17,2006,0.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Leopold Querfeld,AUT,DF,19,2003,27.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Lukas Grgic,AUT,MF,27,1995,16.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Marco Grüll,AUT,"MF,FW",25,1998,25.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Martin Koscelník,SVK,DF,28,1995,1.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Martin Moormann,AUT,DF,22,2001,4.8,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Matthias Seidl,AUT,MF,22,2001,29.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Maximilian Hofmann,AUT,DF,29,1993,13.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Michael Sollbauer,AUT,DF,33,1990,6.1,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Moritz Oswald,AUT,"DF,MF",21,2002,15.1,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Nenad N. Cvetković,SRB,DF,27,1996,5.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Neraysho Kasanwirjo,NED,DF,21,2002,19.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Nicolas-Gerrit Kühn,GER,MF,23,2000,13.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Niklas Hedl,AUT,GK,22,2001,32.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Nikolas Sattlberger,AUT,"MF,DF",19,2004,27.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Oliver Strunz,AUT,MF,23,2000,2.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Patrick Greil,AUT,MF,26,1996,1.3,,,,,,,,,,,,,,,,,,,,,,
