league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
FRA-Ligue 1,2024-25,Montpellier,Arnaud Nordin,FRA,FW,26,1998,16,14,1166,13.0,4,1,5,3,1,2,2,0,4.1,2.5,0.9,3.4,51,23,111,0.31,0.08,0.39,0.23,0.31,0.32,0.07,0.39,0.19,0.26
FRA-Ligue 1,2024-25,Montpellier,Axel Gueguin,FRA,FW,19,2005,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Montpellier,Bamo Meïté,CIV,DF,22,2001,7,6,424,4.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Montpellier,Becir Omeragic,SUI,DF,22,2002,22,21,1799,20.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,21,51,3,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
FRA-Ligue 1,2024-25,Montpellier,Benjamin Lecomte,FRA,GK,33,1991,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Montpellier,Birama Touré,MLI,"MF,DF",32,1992,8,2,300,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,9,2,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
FRA-Ligue 1,2024-25,Montpellier,Boubakar Kouyaté,MLI,DF,27,1997,11,8,756,8.4,0,0,0,0,0,0,6,1,0.5,0.5,0.0,0.5,3,12,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
FRA-Ligue 1,2024-25,Montpellier,Dimitry Bertaud,COD,GK,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Montpellier,Enzo Tchato,CMR,DF,21,2002,27,21,1899,21.1,0,0,0,0,0,0,3,0,0.1,0.1,1.5,1.7,44,62,95,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08
FRA-Ligue 1,2024-25,Montpellier,Falaye Sacko,MLI,DF,29,1995,16,14,1233,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,21,59,34,0.0,0.07,0.07,0.0,0.07,0.0,0.01,0.01,0.0,0.01
FRA-Ligue 1,2024-25,Montpellier,Gabriel Bares,SUI,"MF,DF",23,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Montpellier,Issiaga Sylla,GUI,DF,30,1994,19,15,1156,12.8,1,0,1,1,0,0,2,0,1.8,1.8,0.6,2.4,33,53,46,0.08,0.0,0.08,0.08,0.08,0.15,0.05,0.19,0.15,0.19
FRA-Ligue 1,2024-25,Montpellier,Jordan Ferri,FRA,MF,32,1992,25,21,1773,19.7,0,2,2,0,0,0,6,1,0.4,0.4,0.9,1.3,19,137,42,0.0,0.1,0.1,0.0,0.1,0.02,0.05,0.07,0.02,0.07
FRA-Ligue 1,2024-25,Montpellier,Joris Chotard,FRA,MF,22,2001,26,23,1892,21.0,1,0,1,1,0,0,5,0,1.3,1.3,0.5,1.7,20,80,35,0.05,0.0,0.05,0.05,0.05,0.06,0.02,0.09,0.06,0.09
FRA-Ligue 1,2024-25,Montpellier,Junior Ndiaye,FRA,FW,19,2005,15,4,441,4.9,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,5,7,26,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.19,0.1,0.19
FRA-Ligue 1,2024-25,Montpellier,Khalil Fayad,FRA,"MF,FW",20,2004,20,10,1028,11.4,0,0,0,0,0,0,5,0,1.3,1.3,0.3,1.5,25,50,42,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13
FRA-Ligue 1,2024-25,Montpellier,Lucas Mincarelli,FRA,DF,20,2004,10,8,715,7.9,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,15,25,16,0.13,0.0,0.13,0.13,0.13,0.08,0.03,0.11,0.08,0.11
FRA-Ligue 1,2024-25,Montpellier,Modibo Sagnan,MLI,DF,25,1999,27,24,2141,23.8,2,0,2,2,0,0,10,0,0.7,0.7,0.6,1.3,13,51,3,0.08,0.0,0.08,0.08,0.08,0.03,0.03,0.06,0.03,0.06
FRA-Ligue 1,2024-25,Montpellier,Musa Al-Taamari,JOR,"FW,MF",27,1997,15,12,1116,12.4,2,1,3,2,0,0,3,0,2.6,2.6,1.5,4.1,55,30,76,0.16,0.08,0.24,0.16,0.24,0.21,0.12,0.33,0.21,0.33
FRA-Ligue 1,2024-25,Montpellier,Nicolas Pays,FRA,"FW,MF",20,2003,9,4,447,5.0,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.5,21,14,53,0.0,0.0,0.0,0.0,0.0,0.27,0.03,0.29,0.27,0.29
FRA-Ligue 1,2024-25,Montpellier,Nikola Maksimović,SRB,DF,32,1991,7,7,581,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,1,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
FRA-Ligue 1,2024-25,Montpellier,Othmane Maamma,MAR,"FW,MF",18,2005,12,2,361,4.0,1,1,2,1,0,0,1,0,0.7,0.7,0.2,0.9,8,2,24,0.25,0.25,0.5,0.25,0.5,0.23,0.06,0.29,0.23,0.29
FRA-Ligue 1,2024-25,Montpellier,Rabby Nzingoula,CGO,MF,18,2005,27,20,1689,18.8,1,0,1,1,0,0,11,0,1.0,1.0,1.6,2.6,25,40,38,0.05,0.0,0.05,0.05,0.05,0.06,0.09,0.14,0.06,0.14
FRA-Ligue 1,2024-25,Montpellier,Simon Cara,FRA,"MF,FW",19,2005,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Montpellier,Stefan Džodić,SRB,"DF,MF",19,2005,7,2,242,2.7,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,2,10,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
FRA-Ligue 1,2024-25,Montpellier,Tanguy Coulibaly,FRA,"FW,MF",23,2001,25,17,1485,16.5,3,0,3,3,0,0,4,2,3.5,3.5,1.3,4.8,48,20,97,0.18,0.0,0.18,0.18,0.18,0.22,0.08,0.31,0.22,0.31
FRA-Ligue 1,2024-25,Montpellier,Théo Chennahi,FRA,DF,19,2005,4,2,181,2.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09
FRA-Ligue 1,2024-25,Montpellier,Théo Sainte-Luce,FRA,DF,25,1998,16,11,1018,11.3,1,0,1,1,0,0,3,0,1.0,1.0,0.8,1.8,19,22,33,0.09,0.0,0.09,0.09,0.09,0.1,0.07,0.17,0.1,0.17
FRA-Ligue 1,2024-25,Montpellier,Téji Savanier,FRA,MF,32,1991,31,27,2363,26.3,2,5,7,0,2,2,4,1,3.8,2.3,6.9,9.1,26,183,108,0.08,0.19,0.27,0.0,0.19,0.15,0.27,0.42,0.09,0.36
FRA-Ligue 1,2024-25,Montpellier,Wahbi Khazri,TUN,"FW,MF",33,1991,30,10,1118,12.4,1,1,2,1,0,0,4,0,2.3,2.3,2.2,4.4,24,33,53,0.08,0.08,0.16,0.08,0.16,0.19,0.18,0.37,0.19,0.37
FRA-Ligue 1,2024-25,Montpellier,Wilfried Ndollo,CMR,DF,19,2005,8,3,401,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
FRA-Ligue 1,2024-25,Montpellier,Yael Mouanga,FRA,DF,19,2005,14,10,946,10.5,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,4,22,2,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
FRA-Ligue 1,2024-25,Montpellier,Yanis Issoufou,FRA,"MF,FW",17,2006,4,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
FRA-Ligue 1,2024-25,Nantes,Alban Lafont,FRA,GK,25,1999,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nantes,Anthony Lopes,POR,GK,33,1990,18,18,1563,17.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nantes,Bahereba Guirassy,FRA,"FW,MF",17,2006,19,2,348,3.9,2,0,2,2,0,0,0,0,0.7,0.7,0.1,0.8,15,6,34,0.52,0.0,0.52,0.52,0.52,0.18,0.02,0.2,0.18,0.2
FRA-Ligue 1,2024-25,Nantes,Dehmaine Assoumani,FRA,"MF,FW",19,2005,12,0,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,15,0.0,0.0,0.0,0.0,0.0,0.08,0.83,0.91,0.08,0.91
FRA-Ligue 1,2024-25,Nantes,Douglas,BRA,MF,27,1997,28,28,2307,25.6,4,2,6,4,0,0,8,0,3.4,3.4,1.5,4.9,14,125,34,0.16,0.08,0.23,0.16,0.23,0.13,0.06,0.19,0.13,0.19
FRA-Ligue 1,2024-25,Nantes,Fabien Centonze,FRA,DF,28,1996,7,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,10,15,31,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
FRA-Ligue 1,2024-25,Nantes,Florent Mollet,FRA,"MF,FW",32,1991,9,3,242,2.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7,3,9,12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.24,0.12,0.24
FRA-Ligue 1,2024-25,Nantes,Francis Coquelin,FRA,MF,33,1991,6,3,224,2.5,1,1,2,1,0,0,1,0,1.0,1.0,1.1,2.1,3,8,2,0.4,0.4,0.8,0.4,0.8,0.42,0.44,0.86,0.42,0.86
FRA-Ligue 1,2024-25,Nantes,Ignatius Ganago,CMR,"FW,MF",25,1999,11,1,241,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5,9,26,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.25,0.15,0.25
FRA-Ligue 1,2024-25,Nantes,Jean-Charles Castelletto,CMR,"DF,MF",29,1995,30,30,2620,29.1,0,0,0,0,0,0,5,1,1.8,1.8,0.1,1.9,21,87,19,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
FRA-Ligue 1,2024-25,Nantes,Jean-Kevin Duverne,HAI,DF,27,1997,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,8,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
FRA-Ligue 1,2024-25,Nantes,Jean-Philippe Gbamin,CIV,MF,28,1995,14,2,216,2.4,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,12,1,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
FRA-Ligue 1,2024-25,Nantes,Johann Lepenant,FRA,MF,21,2002,29,23,2048,22.8,2,1,3,2,0,0,3,0,1.4,1.4,0.9,2.3,25,89,62,0.09,0.04,0.13,0.09,0.13,0.06,0.04,0.1,0.06,0.1
FRA-Ligue 1,2024-25,Nantes,Kelvin Amian,FRA,DF,26,1998,30,23,2165,24.1,1,0,1,1,0,0,5,0,1.0,1.0,0.8,1.8,32,73,77,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08
FRA-Ligue 1,2024-25,Nantes,Louis Leroux,FRA,"MF,DF",18,2006,16,8,816,9.1,2,1,3,2,0,0,1,0,1.5,1.5,1.3,2.8,11,31,14,0.22,0.11,0.33,0.22,0.33,0.16,0.15,0.31,0.16,0.31
FRA-Ligue 1,2024-25,Nantes,Marcus Coco,FRA,DF,28,1996,20,10,951,10.6,0,1,1,0,0,0,3,2,0.1,0.1,1.2,1.3,12,34,40,0.0,0.09,0.09,0.0,0.09,0.01,0.12,0.12,0.01,0.12
FRA-Ligue 1,2024-25,Nantes,Matthis Abline,FRA,FW,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37
FRA-Ligue 1,2024-25,Nantes,Meschak Elia,COD,FW,26,1997,8,1,170,1.9,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.3,9,5,22,0.53,0.0,0.53,0.53,0.53,0.59,0.1,0.69,0.59,0.69
FRA-Ligue 1,2024-25,Nantes,Moses Simon,NGA,"FW,MF",29,1995,32,31,2609,29.0,8,10,18,4,4,4,2,0,5.8,2.7,6.7,9.4,147,59,222,0.28,0.34,0.62,0.14,0.48,0.2,0.23,0.43,0.09,0.32
FRA-Ligue 1,2024-25,Nantes,Mostafa Mohamed,EGY,FW,26,1997,30,11,1252,13.9,5,0,5,5,0,0,3,0,5.5,5.5,0.4,5.9,11,20,50,0.36,0.0,0.36,0.36,0.36,0.4,0.03,0.43,0.4,0.43
FRA-Ligue 1,2024-25,Nantes,Nathan Zeze,FRA,DF,19,2005,18,17,1512,16.8,0,0,0,0,0,0,6,0,0.3,0.3,0.0,0.3,2,46,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
FRA-Ligue 1,2024-25,Nantes,Nicolas Cozza,FRA,"DF,MF",25,1999,27,23,2051,22.8,1,0,1,1,0,0,3,1,1.4,1.4,1.4,2.8,25,64,56,0.04,0.0,0.04,0.04,0.04,0.06,0.06,0.12,0.06,0.12
FRA-Ligue 1,2024-25,Nantes,Nicolas Pallois,FRA,DF,36,1987,26,23,2017,22.4,0,2,2,0,0,0,9,0,0.4,0.4,0.4,0.8,6,52,5,0.0,0.09,0.09,0.0,0.09,0.02,0.02,0.04,0.02,0.04
FRA-Ligue 1,2024-25,Nantes,Patrik Carlgren,SWE,GK,32,1992,5,4,417,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nantes,Pedro Chirivella,ESP,MF,27,1997,30,28,2348,26.1,0,2,2,0,0,0,6,0,0.5,0.5,1.8,2.2,16,170,25,0.0,0.08,0.08,0.0,0.08,0.02,0.07,0.09,0.02,0.09
FRA-Ligue 1,2024-25,Nantes,Plamedi Nsingi,,MF,23,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,1.21,1.21,1.21
FRA-Ligue 1,2024-25,Nantes,Saidou Sow,GUI,DF,22,2002,9,9,799,8.9,1,0,1,1,0,0,1,0,0.6,0.6,0.4,1.1,2,15,0,0.11,0.0,0.11,0.11,0.11,0.07,0.05,0.12,0.07,0.12
FRA-Ligue 1,2024-25,Nantes,Sorba Thomas,WAL,"FW,MF",24,1999,25,15,1321,14.7,1,3,4,1,0,0,3,0,1.5,1.5,3.7,5.2,41,34,93,0.07,0.2,0.27,0.07,0.27,0.1,0.25,0.35,0.1,0.35
FRA-Ligue 1,2024-25,Nantes,Sékou Doucoure,FRA,DF,19,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nantes,Tino Kadewere,ZIM,"MF,FW",28,1996,12,6,512,5.7,1,2,3,1,0,0,1,0,1.7,1.7,1.0,2.7,5,19,27,0.18,0.35,0.53,0.18,0.53,0.3,0.17,0.47,0.3,0.47
FRA-Ligue 1,2024-25,Nice,Ali Abdi,TUN,"DF,MF",30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4
FRA-Ligue 1,2024-25,Nice,Amidou Doumbouya,FRA,DF,16,2007,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nice,Antoine Mendy,SEN,DF,20,2004,18,8,825,9.2,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,12,35,15,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
FRA-Ligue 1,2024-25,Nice,Badredine Bouanani,ALG,"MF,FW",19,2004,26,11,1099,12.2,3,3,6,2,1,1,2,0,2.7,1.9,2.4,4.3,47,44,93,0.25,0.25,0.49,0.16,0.41,0.22,0.19,0.42,0.16,0.35
FRA-Ligue 1,2024-25,Nice,Baptiste Santamaria,FRA,MF,29,1995,13,11,927,10.3,0,0,0,0,0,0,1,0,0.9,0.9,1.0,1.9,10,45,11,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18
FRA-Ligue 1,2024-25,Nice,Bernard Nguene,CMR,FW,17,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nice,Bilal Brahimi,ALG,MF,24,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,10,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07
FRA-Ligue 1,2024-25,Nice,Dante,BRA,DF,40,1983,25,21,1964,21.8,0,0,0,0,0,0,5,1,0.5,0.5,0.2,0.6,18,96,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
FRA-Ligue 1,2024-25,Nice,Evann Guessand,CIV,"FW,MF",23,2001,33,30,2565,28.5,12,8,20,12,0,0,2,0,9.2,9.2,5.4,14.6,87,79,162,0.42,0.28,0.7,0.42,0.7,0.32,0.19,0.51,0.32,0.51
FRA-Ligue 1,2024-25,Nice,Gaëtan Laborde,FRA,FW,30,1994,28,20,1829,20.3,11,4,15,7,4,4,1,0,11.7,8.6,3.5,12.0,30,40,131,0.54,0.2,0.74,0.34,0.54,0.58,0.17,0.75,0.42,0.59
FRA-Ligue 1,2024-25,Nice,Hicham Boudaoui,ALG,MF,24,1999,29,27,2435,27.1,2,3,5,2,0,0,9,0,2.7,2.7,3.0,5.8,54,124,75,0.07,0.11,0.18,0.07,0.18,0.1,0.11,0.21,0.1,0.21
FRA-Ligue 1,2024-25,Nice,Issiaga Camara,GUI,MF,19,2005,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nice,Jeremie Boga,CIV,"MF,FW",27,1997,21,12,1054,11.7,1,2,3,1,0,0,0,0,2.3,2.3,2.8,5.1,64,39,75,0.09,0.17,0.26,0.09,0.26,0.2,0.24,0.44,0.2,0.44
FRA-Ligue 1,2024-25,Nice,Jonathan Clauss,FRA,"DF,MF",31,1992,28,27,2303,25.6,3,8,11,3,0,0,7,0,2.2,2.2,7.7,9.9,53,105,160,0.12,0.31,0.43,0.12,0.43,0.09,0.3,0.39,0.09,0.39
FRA-Ligue 1,2024-25,Nice,Jordan Lotomba,SUI,"MF,DF",25,1998,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nice,Marcin Bułka,POL,GK,24,1999,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
FRA-Ligue 1,2024-25,Nice,Melvin Bard,FRA,"DF,MF",23,2000,24,22,1938,21.5,2,1,3,2,0,0,4,2,2.2,2.2,1.9,4.1,53,88,95,0.09,0.05,0.14,0.09,0.14,0.1,0.09,0.19,0.1,0.19
FRA-Ligue 1,2024-25,Nice,Mohamed Abdelmoneim,EGY,DF,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Nice,Mohamed Ali Cho,FRA,"FW,MF",20,2004,27,21,1621,18.0,3,4,7,3,0,0,2,0,4.0,4.0,4.0,7.9,81,59,133,0.17,0.22,0.39,0.17,0.39,0.22,0.22,0.44,0.22,0.44
FRA-Ligue 1,2024-25,Nice,Morgan Sanson,FRA,MF,29,1994,6,3,235,2.6,3,0,3,3,0,0,0,0,1.5,1.5,0.1,1.6,5,13,17,1.15,0.0,1.15,1.15,1.15,0.58,0.02,0.6,0.58,0.6
FRA-Ligue 1,2024-25,Nice,Moïse Bombito,CAN,DF,24,2000,27,25,2192,24.4,0,0,0,0,0,0,3,1,0.7,0.7,0.2,1.0,27,97,10,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
FRA-Ligue 1,2024-25,Nice,Pablo Rosario,DOM,"MF,DF",27,1997,29,21,1775,19.7,3,1,4,2,1,1,6,1,3.8,3.0,0.6,3.5,17,89,25,0.15,0.05,0.2,0.1,0.15,0.19,0.03,0.22,0.15,0.18
FRA-Ligue 1,2024-25,Nice,Rareş Ilie,ROU,MF,21,2003,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,2,3,1,0.0,0.0,0.0,0.0,0.0,0.25,2.47,2.72,0.25,2.72
FRA-Ligue 1,2024-25,Nice,Sofiane Diop,FRA,"MF,FW",24,2000,28,8,1064,11.8,6,4,10,6,0,0,3,0,6.0,6.0,2.9,8.9,26,64,70,0.51,0.34,0.85,0.51,0.85,0.51,0.24,0.75,0.51,0.75
FRA-Ligue 1,2024-25,Nice,Tanguy Ndombele,FRA,MF,27,1996,18,12,1131,12.6,1,2,3,1,0,0,2,0,2.4,2.4,2.4,4.8,22,61,36,0.08,0.16,0.24,0.08,0.24,0.19,0.19,0.38,0.19,0.38
FRA-Ligue 1,2024-25,Nice,Terem Moffi,NGA,FW,25,1999,5,0,58,0.6,1,0,1,1,0,0,0,0,2.3,2.3,0.0,2.3,1,1,4,1.55,0.0,1.55,1.55,1.55,3.53,0.0,3.53,3.53,3.53
FRA-Ligue 1,2024-25,Nice,Tom Louchet,FRA,"DF,MF",21,2003,22,7,775,8.6,1,0,1,1,0,0,1,0,0.8,0.8,1.2,1.9,19,36,37,0.12,0.0,0.12,0.12,0.12,0.09,0.14,0.22,0.09,0.22
FRA-Ligue 1,2024-25,Nice,Victor Orakpo,NGA,FW,18,2006,4,0,36,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,4,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.81,0.81
FRA-Ligue 1,2024-25,Nice,Yael Nandjou,FRA,DF,19,2005,3,2,154,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.7,1.0,2,3,9,0.0,0.0,0.0,0.0,0.0,0.13,0.44,0.57,0.13,0.57
FRA-Ligue 1,2024-25,Nice,Youssouf Ndayishimiye,BDI,DF,25,1998,23,22,1932,21.5,3,0,3,3,0,0,5,0,0.9,0.9,0.2,1.1,17,86,9,0.14,0.0,0.14,0.14,0.14,0.04,0.01,0.05,0.04,0.05
FRA-Ligue 1,2024-25,Nice,Youssoufa Moukoko,GER,"FW,MF",19,2004,11,2,204,2.3,2,1,3,2,0,0,0,0,2.2,2.2,0.8,3.0,2,6,12,0.88,0.44,1.32,0.88,1.32,0.96,0.36,1.32,0.96,1.32
FRA-Ligue 1,2024-25,Paris S-G,Achraf Hakimi,MAR,DF,25,1998,25,24,2066,23.0,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,274,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4
FRA-Ligue 1,2024-25,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.21,0.21,0.0,0.21
FRA-Ligue 1,2024-25,Paris S-G,Axel Tapé,FRA,"DF,MF",16,2007,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,5,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
FRA-Ligue 1,2024-25,Paris S-G,Bradley Barcola,FRA,FW,21,2002,34,27,2181,24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97
FRA-Ligue 1,2024-25,Paris S-G,Désiré Doué,FRA,"FW,MF",19,2005,31,18,1730,19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13.0,97,139,232,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67
FRA-Ligue 1,2024-25,Paris S-G,Fabián Ruiz Peña,ESP,MF,28,1996,30,21,1923,21.4,4,5,9,4,0,0,1,0,4.3,4.3,4.7,9.0,47,205,92,0.19,0.23,0.42,0.19,0.42,0.2,0.22,0.42,0.2,0.42
FRA-Ligue 1,2024-25,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,24,24,2091,23.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2024-25,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,22,12,1066,11.8,10,3,13,8,2,3,1,0,13.6,11.3,2.2,13.4,11,24,63,0.84,0.25,1.1,0.68,0.93,1.15,0.18,1.33,0.95,1.13
