league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Connor Noß,IRL,"FW,MF",23,2001,7.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Danilo Mitrović,SRB,"DF,MF",23,2001,6.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Elias Bakatukanda,GER,DF,20,2004,8.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Fabio Strauss,AUT,DF,29,1994,8.1,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Joao Luiz,BRA,FW,25,1999,0.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Julian Gölles,AUT,"DF,MF",24,1999,3.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Kristijan Dobras,AUT,"MF,FW",31,1992,15.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Ibertsberger,AUT,MF,20,2003,1.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Tursch,AUT,DF,28,1996,1.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukinha,BRA,MF,22,2001,1.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Manuel Maranda,AUT,DF,27,1997,32.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Martin Moormann,AUT,DF,23,2001,19.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Mehmet Ibrahimi,GER,FW,21,2003,0.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2.0,,,,,,,,,,,,,,,,
