league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
ESP-La Liga,2024-25,Betis,Rui Silva,POR,GK,30,1994,15.0,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9
ESP-La Liga,2024-25,Celta Vigo,Iván Villar,ESP,GK,27,1997,4.0,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8
ESP-La Liga,2024-25,Celta Vigo,Vicente Guaita,ESP,GK,37,1987,34.0,48,3,0,6,0,40.6,0.3,-7.4,-0.22,66,220,30.0,740,195,18.4,27.3,230,36.5,35.4,436,26,6.0,44,1.29,14.0
ESP-La Liga,2024-25,Espanyol,Joan García,ESP,GK,23,2001,38.0,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,1040,197,37.6,34.8,216,62.5,48.5,670,64,9.6,35,0.92,12.0
ESP-La Liga,2024-25,Getafe,David Soria,ESP,GK,31,1993,38.0,39,8,0,5,0,42.0,0.29,3.0,0.08,300,799,37.5,719,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7
ESP-La Liga,2024-25,Girona,Krapyvtsov Vladyslav,UKR,GK,19,2005,2.0,7,1,0,2,0,6.3,0.31,-0.7,-0.37,10,21,47.6,63,13,31.7,35.6,7,14.3,28.6,27,1,3.7,1,0.5,12.9
ESP-La Liga,2024-25,Girona,Pau López,ESP,GK,29,1994,0.5,2,0,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,17,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2.0,9.8
ESP-La Liga,2024-25,Girona,Paulo Gazzaniga,ARG,GK,32,1992,35.5,51,2,1,5,1,45.4,0.29,-4.6,-0.13,93,298,31.2,1026,137,21.6,29.4,180,42.2,40.0,419,36,8.6,33,0.93,12.6
ESP-La Liga,2024-25,Las Palmas,Dinko Horkaš,CRO,GK,25,1999,12.1,19,1,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,475,53,31.8,32.5,47,51.1,43.0,148,9,6.1,16,1.33,15.6
ESP-La Liga,2024-25,Las Palmas,Jasper Cillessen,NED,GK,35,1989,25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5
ESP-La Liga,2024-25,Leganés,Juan Soriano,ESP,GK,26,1997,6.0,7,0,0,1,1,8.8,0.36,2.8,0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.0,8.4
ESP-La Liga,2024-25,Leganés,Marko Dmitrović,SRB,GK,32,1992,32.0,49,7,1,9,2,50.2,0.3,3.2,0.1,201,765,26.3,743,112,65.3,47.2,303,92.4,66.2,579,49,8.5,53,1.66,14.5
ESP-La Liga,2024-25,Mallorca,Dominik Greif,SVK,GK,27,1997,31.0,34,2,0,3,1,33.9,0.28,0.9,0.03,191,475,40.2,847,126,41.9,36.4,193,62.2,48.3,511,15,2.9,21,0.68,12.9
ESP-La Liga,2024-25,Mallorca,Leo Román,ESP,GK,24,2000,7.0,10,1,0,1,0,13.5,0.26,3.5,0.5,48,139,34.5,188,18,53.2,41.8,52,75.0,57.5,127,8,6.3,6,0.86,11.2
ESP-La Liga,2024-25,Osasuna,Aitor Fernández,ESP,GK,33,1991,1.0,0,0,0,0,0,1.2,0.23,1.2,1.15,19,35,54.3,34,4,70.6,44.4,11,100.0,59.9,14,1,7.1,1,1.0,10.6
ESP-La Liga,2024-25,Osasuna,Sergio Herrera,ESP,GK,31,1993,37.0,52,7,1,4,1,56.2,0.28,5.2,0.14,277,614,45.1,966,139,43.2,37.6,276,71.4,50.7,524,32,6.1,85,2.3,19.7
ESP-La Liga,2024-25,Rayo Vallecano,Augusto Batalla,ARG,GK,28,1996,32.0,39,6,0,6,1,40.0,0.25,2.0,0.06,177,534,33.1,989,129,42.3,38.2,184,63.0,51.1,453,35,7.7,38,1.19,14.4
ESP-La Liga,2024-25,Rayo Vallecano,Dani Cárdenas,ESP,GK,27,1997,6.0,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2
ESP-La Liga,2024-25,Real Madrid,Andriy Lunin,UKR,GK,25,1999,7.0,7,0,0,0,0,6.4,0.32,-0.6,-0.09,21,42,50.0,155,29,20.0,26.9,45,24.4,30.6,61,2,3.3,12,1.71,14.9
ESP-La Liga,2024-25,Real Madrid,Fran,ESP,GK,19,2005,1.0,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,4,0.0,14.8,5,1,20.0,1,1.0,12.0
ESP-La Liga,2024-25,Real Madrid,Thibaut Courtois,BEL,GK,32,1992,30.0,29,3,0,6,1,28.7,0.27,0.7,0.02,62,214,29.0,871,173,18.5,28.2,148,35.8,39.1,350,16,4.6,14,0.47,10.7
ESP-La Liga,2024-25,Real Sociedad,Unai Marrero,ESP,GK,22,2001,2.0,3,0,0,0,0,3.5,0.22,0.5,0.26,7,16,43.8,41,11,24.4,28.3,15,40.0,35.1,21,1,4.8,3,1.5,16.8
ESP-La Liga,2024-25,Real Sociedad,Álex Remiro,ESP,GK,29,1995,36.0,43,5,0,5,0,38.0,0.26,-5.0,-0.14,180,477,37.7,1053,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4
ESP-La Liga,2024-25,Sevilla,Álvaro Fernández,ESP,GK,26,1998,8.3,16,2,0,1,0,11.0,0.25,-5.0,-0.61,37,142,26.1,277,32,39.7,34.3,46,69.6,49.4,105,7,6.7,14,1.69,16.5
ESP-La Liga,2024-25,Sevilla,Ørjan Nyland,NOR,GK,33,1990,29.7,39,3,3,3,1,37.1,0.31,-0.9,-0.03,118,445,26.5,836,114,42.1,37.2,166,56.0,46.0,408,20,4.9,29,0.98,13.8
ESP-La Liga,2024-25,Valencia,Giorgi Mamardashvili,GEO,GK,23,2000,34.0,48,5,0,4,3,46.1,0.3,1.1,0.03,141,449,31.4,859,134,36.0,34.5,219,63.9,49.6,472,33,7.0,38,1.12,14.3
ESP-La Liga,2024-25,Valencia,Stole Dimitrievski,MKD,GK,30,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.0,25.7
ESP-La Liga,2024-25,Valladolid,André Ferreira,POR,GK,28,1996,6.0,20,3,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37.0,33.8,56,57.1,41.7,92,4,4.3,3,0.5,10.4
ESP-La Liga,2024-25,Valladolid,Arnau Rafús,ESP,GK,21,2003,1.0,2,0,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,38,5,34.2,34.9,5,40.0,39.0,14,1,7.1,1,1.0,11.4
ESP-La Liga,2024-25,Valladolid,Karl Jakob Hein,EST,GK,22,2002,31.0,68,4,1,4,1,58.8,0.35,-8.2,-0.27,165,452,36.5,941,136,32.6,33.9,224,64.7,51.7,474,34,7.2,34,1.1,14.0
ESP-La Liga,2024-25,Villarreal,Diego Conde,ESP,GK,25,1998,21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,107,37.4,36.3,323,18,5.6,16,0.73,11.9
ESP-La Liga,2024-25,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,23,2001,16.2,18,4,1,0,0,18.1,0.23,0.1,0.0,61,178,34.3,392,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2
FRA-Ligue 1,2024-25,Angers,Melvin Zinga,FRA,GK,22,2002,1.0,2,1,0,0,0,2.4,0.41,0.4,0.4,2,11,18.2,22,4,40.9,39.0,11,18.2,25.6,20,1,5.0,2,2.0,16.8
FRA-Ligue 1,2024-25,Angers,Yahia Fofana,CIV,GK,23,2000,33.0,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9.0,20,0.61,10.7
FRA-Ligue 1,2024-25,Auxerre,Donovan Léon,GUF,GK,31,1992,32.0,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53.0,42.0,195,78.5,56.4,518,28,5.4,39,1.22,14.6
FRA-Ligue 1,2024-25,Auxerre,Théo De Percin,MTQ,GK,23,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1
FRA-Ligue 1,2024-25,Brest,Grégoire Coudert,FRA,GK,25,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.6,6,20,30.0,60,7,28.3,31.4,8,37.5,36.5,30,1,3.3,3,1.5,18.5
FRA-Ligue 1,2024-25,Brest,Marco Bizot,NED,GK,33,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,216,66.2,49.2,459,33,7.2,53,1.66,16.2
FRA-Ligue 1,2024-25,Le Havre,Arthur Desmas,FRA,GK,30,1994,18.0,38,2,1,4,0,38.7,0.4,0.7,0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9
FRA-Ligue 1,2024-25,Le Havre,Mathieu Gorgelin,FRA,GK,33,1990,16.0,33,3,0,4,1,34.2,0.4,2.2,0.14,79,183,43.2,435,75,32.9,32.4,99,40.4,34.6,269,21,7.8,8,0.5,10.5
FRA-Ligue 1,2024-25,Lens,Brice Samba,FRA,GK,30,1994,15.0,14,4,2,3,0,17.5,0.26,3.5,0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1
FRA-Ligue 1,2024-25,Lens,Hervé Koffi,BFA,GK,27,1996,5.0,8,2,0,1,0,11.1,0.38,3.1,0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.4,9.4
FRA-Ligue 1,2024-25,Lens,Mathew Ryan,AUS,GK,32,1992,14.0,17,2,0,0,0,19.5,0.28,2.5,0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6
FRA-Ligue 1,2024-25,Lille,Lucas Chevalier,FRA,GK,22,2001,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,968,144,25.7,29.6,112,34.8,35.7,373,21,5.6,24,0.71,13.9
FRA-Ligue 1,2024-25,Lyon,Lucas Perri,BRA,GK,26,1997,33.0,44,3,1,6,0,47.8,0.29,3.8,0.12,101,310,32.6,884,183,28.1,30.5,152,40.8,37.6,415,26,6.3,29,0.88,13.5
FRA-Ligue 1,2024-25,Lyon,Rémy Descamps,FRA,GK,28,1996,1.0,2,0,0,0,0,1.4,0.23,-0.6,-0.62,1,4,25.0,28,2,14.3,27.5,2,0.0,16.0,7,0,0.0,0,0.0,7.0
FRA-Ligue 1,2024-25,Marseille,Gerónimo Rulli,ARG,GK,32,1992,34.0,47,3,1,4,2,47.5,0.33,2.5,0.07,92,202,45.5,1097,133,15.0,24.4,105,35.2,32.7,309,28,9.1,59,1.74,18.3
FRA-Ligue 1,2024-25,Monaco,Philipp Köhn,SUI,GK,26,1998,19.0,19,1,0,2,0,17.2,0.26,-1.8,-0.1,50,157,31.8,447,70,25.7,29.9,99,42.4,38.1,225,16,7.1,20,1.05,14.8
FRA-Ligue 1,2024-25,Monaco,Radosław Majecki,POL,GK,24,1999,15.0,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31.0,32.8,154,14,9.1,18,1.2,14.0
FRA-Ligue 1,2024-25,Montpellier,Benjamin Lecomte,FRA,GK,33,1991,30.0,68,6,0,5,3,57.3,0.31,-5.7,-0.2,177,449,39.4,814,115,42.5,36.2,184,56.0,42.4,408,20,4.9,26,0.9,14.3
FRA-Ligue 1,2024-25,Montpellier,Dimitry Bertaud,COD,GK,26,1998,4.0,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,27,51.9,43.6,55,8,14.5,3,0.75,13.3
FRA-Ligue 1,2024-25,Nantes,Alban Lafont,FRA,GK,25,1999,12.0,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.5,10.6
FRA-Ligue 1,2024-25,Nantes,Anthony Lopes,POR,GK,33,1990,17.4,26,4,0,1,1,25.6,0.32,0.6,0.03,89,257,34.6,451,56,40.4,35.8,96,78.1,49.4,308,16,5.2,8,0.46,11.0
FRA-Ligue 1,2024-25,Nantes,Patrik Carlgren,SWE,GK,32,1992,4.6,7,0,0,1,0,8.5,0.3,1.5,0.31,22,63,34.9,99,27,36.4,34.4,37,73.0,48.6,80,1,1.3,1,0.22,10.9
FRA-Ligue 1,2024-25,Nice,Marcin Bułka,POL,GK,24,1999,34.0,41,2,0,4,1,43.0,0.26,3.0,0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8
FRA-Ligue 1,2024-25,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1.0,1,0,0,0,0,1.5,0.37,0.5,0.46,3,4,75.0,30,4,13.3,25.4,2,0.0,21.5,5,1,20.0,1,1.0,15.6
FRA-Ligue 1,2024-25,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,23.2,25,1,1,4,0,21.7,0.29,-3.3,-0.14,35,101,34.7,543,90,13.6,25.1,89,30.3,28.2,199,10,5.0,19,0.82,14.4
FRA-Ligue 1,2024-25,Paris S-G,Matvei Safonov,RUS,GK,25,1999,9.8,9,2,0,2,1,7.2,0.26,-0.8,-0.08,36,83,43.4,262,46,26.3,29.1,48,29.2,28.8,94,5,5.3,14,1.43,18.0
FRA-Ligue 1,2024-25,Reims,Yehvann Diouf,SEN,GK,24,1999,34.0,47,4,1,8,0,61.6,0.33,14.6,0.43,154,477,32.3,993,153,34.4,33.3,220,61.4,45.0,554,31,5.6,42,1.24,14.6
FRA-Ligue 1,2024-25,Rennes,Brice Samba,FRA,GK,30,1994,17.0,27,1,1,4,0,29.2,0.32,2.2,0.13,58,178,32.6,569,64,24.4,29.7,102,38.2,33.3,225,16,7.1,15,0.88,13.2
FRA-Ligue 1,2024-25,Rennes,Gauthier Gallon,FRA,GK,31,1993,0.5,0,0,0,0,0,0.0,,0.0,0.0,0,3,0.0,15,2,13.3,23.8,4,25.0,26.3,2,0,0.0,1,2.0,28.0
FRA-Ligue 1,2024-25,Rennes,Steve Mandanda,FRA,GK,39,1985,16.5,23,2,0,2,2,17.0,0.29,-4.0,-0.24,61,180,33.9,426,66,33.6,32.7,73,50.7,41.6,175,7,4.0,21,1.27,15.7
FRA-Ligue 1,2024-25,Saint-Étienne,Gautier Larsonneur,FRA,GK,27,1997,34.0,77,13,0,4,2,73.5,0.3,-1.5,-0.04,131,486,27.0,978,145,38.8,34.7,205,52.2,40.5,510,24,4.7,33,1.0,14.0
FRA-Ligue 1,2024-25,Strasbourg,Karl-Johan Johnsson,SWE,GK,34,1990,3.0,6,1,0,0,0,6.7,0.26,0.7,0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.0,11.1
FRA-Ligue 1,2024-25,Strasbourg,Đorđe Petrović,SRB,GK,24,1999,31.0,38,7,0,3,2,45.9,0.27,9.9,0.32,117,361,32.4,1438,127,20.9,27.4,107,56.1,45.6,491,41,8.4,47,1.52,15.2
FRA-Ligue 1,2024-25,Toulouse,Guillaume Restes,FRA,GK,19,2005,28.3,36,1,1,3,3,27.9,0.29,-5.1,-0.18,80,286,28.0,675,83,30.8,30.3,135,57.8,42.8,360,5,1.4,34,1.2,16.9
FRA-Ligue 1,2024-25,Toulouse,Kjetil Haug,NOR,GK,26,1998,5.5,7,0,0,2,0,6.6,0.45,-0.4,-0.06,16,60,26.7,95,13,37.9,34.1,35,68.6,49.1,72,5,6.9,3,0.54,12.1
FRA-Ligue 1,2024-25,Toulouse,Álex Domínguez,ESP,GK,26,1998,0.2,0,0,0,0,0,0.0,,0.0,0.0,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.0,
GER-Bundesliga,2024-25,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,19,2,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7
GER-Bundesliga,2024-25,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15.0,32,3,1,2,0,25.9,0.32,-6.1,-0.4,83,220,37.7,397,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.2,13.3
GER-Bundesliga,2024-25,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3.0,5,0,0,0,0,4.0,0.58,-1.0,-0.32,5,25,20.0,96,5,25.0,29.5,7,14.3,29.6,17,0,0.0,8,2.67,21.2
GER-Bundesliga,2024-25,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8.0,12,0,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38.0,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4
GER-Bundesliga,2024-25,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22.0,15,1,0,2,0,15.0,0.33,0.0,0.0,92,194,47.4,867,81,20.0,27.7,56,37.5,37.3,162,6,3.7,40,1.82,19.6
GER-Bundesliga,2024-25,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1.0,0,0,0,0,0,0.0,,0.0,0.0,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.0,12.3
GER-Bundesliga,2024-25,Bochum,Patrick Drewes,GER,GK,31,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8
GER-Bundesliga,2024-25,Bochum,Timo Horn,GER,GK,31,1993,13.0,22,0,1,3,0,18.5,0.35,-3.5,-0.27,129,332,38.9,400,29,60.8,43.6,98,90.8,61.8,182,6,3.3,18,1.38,14.8
GER-Bundesliga,2024-25,Dortmund,Alexander Meyer,GER,GK,33,1991,2.0,4,0,0,0,0,4.0,0.36,0.0,0.0,8,33,24.2,76,3,35.5,34.8,7,85.7,63.6,24,1,4.2,2,1.0,14.8
GER-Bundesliga,2024-25,Dortmund,Gregor Kobel,SUI,GK,26,1997,32.0,47,4,0,5,1,47.4,0.35,1.4,0.04,112,336,33.3,1117,126,23.7,28.6,121,58.7,45.3,420,22,5.2,47,1.47,15.7
GER-Bundesliga,2024-25,Eint Frankfurt,Kauã Santos,BRA,GK,21,2003,8.5,12,1,0,4,1,14.3,0.3,3.3,0.39,40,116,34.5,248,34,37.1,33.2,44,54.5,42.9,137,16,11.7,18,2.12,14.0
GER-Bundesliga,2024-25,Eint Frankfurt,Kevin Trapp,GER,GK,34,1990,25.5,34,0,0,6,1,34.9,0.3,1.9,0.08,89,312,28.5,813,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,1.1,13.6
GER-Bundesliga,2024-25,Freiburg,Florian Müller,GER,GK,26,1997,8.4,16,2,0,3,1,11.6,0.35,-3.4,-0.41,54,166,32.5,267,28,44.9,37.1,57,80.7,57.7,104,6,5.8,9,1.08,13.4
GER-Bundesliga,2024-25,Freiburg,Noah Atubolu,GER,GK,22,2002,25.6,37,0,1,3,0,37.0,0.3,0.0,0.0,159,414,38.4,1012,110,32.4,33.1,126,68.3,51.5,377,34,9.0,28,1.09,12.7
GER-Bundesliga,2024-25,Gladbach,Jonas Omlin,SUI,GK,30,1994,10.9,26,2,1,6,0,23.8,0.31,-2.2,-0.2,68,190,35.8,453,46,34.9,32.7,57,56.1,44.2,166,3,1.8,13,1.2,15.1
GER-Bundesliga,2024-25,Gladbach,Moritz Nicolas,GER,GK,26,1997,18.2,25,5,0,1,2,29.9,0.29,6.9,0.38,95,199,47.7,734,88,23.3,28.2,60,46.7,39.8,319,18,5.6,14,0.77,12.0
GER-Bundesliga,2024-25,Gladbach,Tiago Cardoso,LUX,GK,18,2006,4.2,3,0,0,0,0,4.7,0.2,1.7,0.39,23,62,37.1,148,22,27.0,29.2,31,71.0,48.9,96,14,14.6,1,0.24,5.6
GER-Bundesliga,2024-25,Gladbach,Tobias Sippel,GER,GK,36,1988,0.7,3,0,0,1,0,1.2,0.3,-1.8,-2.72,9,22,40.9,22,2,45.5,39.2,12,100.0,69.2,13,0,0.0,0,0.0,2.0
GER-Bundesliga,2024-25,Heidenheim,Frank Feller,GER,GK,20,2004,1.3,0,0,0,0,0,0.3,0.16,0.3,0.24,10,34,29.4,54,7,42.6,38.0,11,100.0,68.4,25,1,4.0,1,0.74,14.8
GER-Bundesliga,2024-25,Heidenheim,Kevin Müller,GER,GK,33,1991,32.7,64,6,0,7,0,59.3,0.33,-4.7,-0.14,152,428,35.5,1031,153,31.4,33.8,271,38.4,38.3,453,21,4.6,20,0.61,12.0
GER-Bundesliga,2024-25,Hoffenheim,Luca Philipp,GER,GK,23,2000,6.0,15,1,0,2,1,12.3,0.34,-1.7,-0.28,30,97,30.9,157,22,51.0,38.7,36,47.2,40.6,84,3,3.6,4,0.67,12.8
GER-Bundesliga,2024-25,Hoffenheim,Oliver Baumann,GER,GK,34,1990,28.0,53,2,1,7,2,52.1,0.36,1.1,0.04,178,478,37.2,923,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5
GER-Bundesliga,2024-25,Holstein Kiel,Thomas Dähne,GER,GK,30,1994,9.0,19,2,1,1,1,18.5,0.3,0.5,0.06,47,133,35.3,304,55,25.7,30.3,91,60.4,45.6,177,15,8.5,5,0.56,9.3
GER-Bundesliga,2024-25,Holstein Kiel,Timon Weiner,GER,GK,25,1999,25.0,61,4,2,5,2,47.2,0.32,-11.8,-0.47,167,444,37.6,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,0.72,11.1
GER-Bundesliga,2024-25,Leverkusen,Lukáš Hrádecký,FIN,GK,34,1989,29.0,38,4,1,2,3,35.8,0.28,0.8,0.03,123,306,40.2,774,110,30.9,31.5,135,49.6,40.8,296,12,4.1,39,1.34,17.3
GER-Bundesliga,2024-25,Leverkusen,Matej Kovar,CZE,GK,24,2000,5.0,5,0,0,0,1,3.5,0.22,-0.5,-0.09,12,32,37.5,131,16,21.4,27.9,15,26.7,27.7,52,2,3.8,6,1.2,16.9
GER-Bundesliga,2024-25,Mainz 05,Lasse Rieß,GER,GK,23,2001,2.0,2,0,0,0,0,2.2,0.27,0.2,0.09,13,43,30.2,72,7,51.4,41.6,12,50.0,45.6,23,2,8.7,8,4.0,18.0
GER-Bundesliga,2024-25,Mainz 05,Robin Zentner,GER,GK,29,1994,32.0,41,4,2,9,0,45.0,0.29,4.0,0.12,175,567,30.9,977,132,46.2,38.7,179,64.8,52.1,524,45,8.6,58,1.81,14.0
GER-Bundesliga,2024-25,RB Leipzig,Maarten Vandevoordt,BEL,GK,22,2002,4.8,9,0,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,139,27,23.0,29.4,35,57.1,46.0,78,7,9.0,11,2.31,16.1
GER-Bundesliga,2024-25,RB Leipzig,Péter Gulácsi,HUN,GK,34,1990,29.2,39,2,1,4,0,42.6,0.3,3.6,0.12,79,209,37.8,705,140,20.3,28.6,196,33.7,34.3,434,23,5.3,34,1.16,14.8
GER-Bundesliga,2024-25,St. Pauli,Ben Alexander Voll,GER,GK,23,2000,1.0,2,0,0,0,0,2.4,0.48,0.4,0.41,7,28,25.0,37,5,59.5,44.7,13,46.2,39.7,15,0,0.0,0,0.0,
GER-Bundesliga,2024-25,St. Pauli,Nikola Vasilj,BIH,GK,28,1995,33.0,39,1,0,5,1,47.4,0.32,9.4,0.29,164,493,33.3,1267,107,34.2,32.7,134,44.8,38.0,411,24,5.8,27,0.82,12.8
GER-Bundesliga,2024-25,Stuttgart,Alexander Nübel,GER,GK,27,1996,34.0,53,2,1,7,1,44.8,0.32,-7.2,-0.21,157,410,38.3,1183,137,30.1,30.7,122,44.3,39.5,415,21,5.1,57,1.68,17.6
GER-Bundesliga,2024-25,Union Berlin,Alexander Schwolow,GER,GK,32,1992,6.0,13,1,0,0,0,9.7,0.32,-3.3,-0.55,28,73,38.4,166,26,31.3,31.0,40,52.5,42.6,85,0,0.0,4,0.67,14.2
GER-Bundesliga,2024-25,Union Berlin,Frederik Rønnow,DEN,GK,31,1992,28.0,37,1,1,1,1,39.3,0.32,3.3,0.12,143,395,36.2,734,135,36.6,34.3,161,78.3,54.3,483,40,8.3,35,1.25,13.4
GER-Bundesliga,2024-25,Werder Bremen,Michael Zetterer,GER,GK,29,1995,34.0,57,3,2,4,3,52.9,0.33,-1.1,-0.03,134,370,36.2,1204,188,27.7,31.9,107,33.6,36.8,464,35,7.5,34,1.0,13.5
GER-Bundesliga,2024-25,Wolfsburg,Kamil Grabara,POL,GK,25,1999,28.7,49,2,0,9,1,49.7,0.35,1.7,0.06,186,511,36.4,979,114,41.7,36.7,154,66.9,51.9,413,15,3.6,19,0.66,12.2
GER-Bundesliga,2024-25,Wolfsburg,Marius Müller,GER,GK,31,1993,5.3,5,0,0,2,0,7.6,0.33,2.6,0.49,37,97,38.1,184,29,39.1,36.6,34,73.5,51.4,99,9,9.1,3,0.57,11.7
ITA-Serie A,2024-25,Atalanta,Juan Musso,ARG,GK,30,1994,1.0,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,1.0,17.5
ITA-Serie A,2024-25,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34.0,34,2,0,4,2,36.1,0.28,4.1,0.12,121,374,32.4,878,177,28.2,32.3,201,62.7,48.2,319,21,6.6,45,1.32,14.5
ITA-Serie A,2024-25,Atalanta,Rui Patrício,POR,GK,36,1988,3.0,3,0,0,0,0,4.2,0.34,1.2,0.41,8,19,42.1,83,12,18.1,27.6,18,22.2,32.1,29,0,0.0,10,3.33,23.1
ITA-Serie A,2024-25,Bologna,Federico Ravaglia,ITA,GK,24,1999,11.7,14,1,0,2,0,11.7,0.46,-2.3,-0.2,48,138,34.8,426,45,27.5,30.8,47,44.7,40.4,97,11,11.3,9,0.77,12.9
ITA-Serie A,2024-25,Bologna,Łukasz Skorupski,POL,GK,33,1991,26.3,33,1,0,1,2,28.7,0.34,-2.3,-0.09,123,329,37.4,1005,113,27.9,31.6,95,51.6,44.7,215,18,8.4,23,0.88,13.0
ITA-Serie A,2024-25,Cagliari,Alen Sherri,ALB,GK,26,1997,6.9,11,0,0,0,0,10.9,0.35,-0.1,-0.02,29,84,34.5,168,22,35.7,32.2,57,42.1,37.0,85,4,4.7,5,0.72,11.1
ITA-Serie A,2024-25,Cagliari,Elia Caprile,ITA,GK,22,2001,18.0,22,1,0,4,0,23.5,0.35,1.5,0.08,132,332,39.8,546,93,44.1,36.8,159,57.2,45.2,266,18,6.8,23,1.28,15.6
ITA-Serie A,2024-25,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,0,,1,0,0.0,6.0,0,,,0,0,,1,10.0,21.0
